deprecation > declaring-dependencies-using-multi-string-notation | plugin:com.google.protobuf | Please use single-string notation instead: "com.google.protobuf:protoc:3.22.3:linux-x86_64@exe".
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:22 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:24 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:25 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:26 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:27 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:28 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:29 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:30 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:32 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:33 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:34 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:35 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:36 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:37 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:38 | Property 'libs' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/builder/build.gradle:39 | Property 'externalTestFixtures' was not declared in project ':base:builder' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/docs/build.gradle:10 | Property 'libs' was not declared in project ':base:build-system:docs' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:19 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:20 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:21 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:22 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:24 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:34 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:35 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:36 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:37 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:39 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:40 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:41 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:42 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:45 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:46 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:47 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:48 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:49 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-api/build.gradle:50 | Property 'libs' was not declared in project ':base:gradle-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-common-api/build.gradle:25 | Property 'libs' was not declared in project ':base:build-system:gradle-common-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-common-api/build.gradle:28 | Property 'libs' was not declared in project ':base:build-system:gradle-common-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-common-api/build.gradle:29 | Property 'libs' was not declared in project ':base:build-system:gradle-common-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-common-api/build.gradle:30 | Property 'libs' was not declared in project ':base:build-system:gradle-common-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-common-api/build.gradle:31 | Property 'libs' was not declared in project ':base:build-system:gradle-common-api' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:141 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:142 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:143 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:144 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:147 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:148 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:149 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:150 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:152 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:153 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:154 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:156 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:160 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:161 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:162 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:163 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:164 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:165 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:166 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:167 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:168 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:169 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:170 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:171 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:172 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:173 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:177 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:181 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:182 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:183 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:184 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:185 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:187 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:188 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:189 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:190 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:198 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:199 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:200 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:201 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:202 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:203 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:204 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:205 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:206 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:208 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:209 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:210 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:211 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:212 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:213 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:214 | Property 'externalTestFixtures' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:216 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
deprecation > implicit-lookup-of-properties-in-parent-projects | tools/base/build-system/gradle-core/build.gradle:217 | Property 'libs' was not declared in project ':base:build-system:gradle-core' and was resolved from root project 'tools-gradle'.
